country name,countryid,coef not urban,SE not urban,coef urban,se urban,diff,se diff,p-value,year,Urban significantly better,Urban significantly worse,No signficant difference
QAR,974,0,,476.9706702,6.66795608,0,,,2015,N/A,N/A,N/A
ALB,8,393.4127218,2.744342618,407.0801275,5.141062875,13.66740569,5.717078003,0.016819594,2012,TRUE,FALSE,FALSE
DZA,12,,,,,,,,2012,N/A,N/A,N/A
AZE,31,,,,,,,,2012,N/A,N/A,N/A
ARG,32,399.706029,5.171638386,415.0277962,6.338086536,15.32176722,8.243233438,0.063068482,2012,FALSE,FALSE,TRUE
AUS,36,505.9369344,2.86336761,529.7938834,2.059975346,23.85694896,3.43650448,3.86002E-12,2012,TRUE,FALSE,FALSE
AUT,40,503.7166198,3.776843995,509.7410871,7.198410673,6.024467366,9.355560889,0.519611051,2012,FALSE,FALSE,TRUE
BEL,56,509.5949487,2.827129299,489.4386702,8.728705488,-20.15627849,10.34082986,0.051272319,2012,FALSE,FALSE,TRUE
BRA,76,386.2370019,2.761728662,418.6165896,3.697448888,32.37958776,4.923646265,4.82159E-11,2012,TRUE,FALSE,FALSE
BGR,100,427.7224199,5.460398842,479.4619819,9.365312629,51.73956198,10.85048083,1.85684E-06,2012,TRUE,FALSE,FALSE
CAN,124,522.4410117,1.943661869,528.0352858,3.294826606,5.594274086,3.931941203,0.154800916,2012,FALSE,FALSE,TRUE
CHL,152,434.6182112,5.267228715,451.5391021,4.067380619,16.92089096,7.227583786,0.019224205,2012,TRUE,FALSE,FALSE
QCN,156,0,,580.1178308,3.03371259,0,,,2012,N/A,N/A,N/A
TAP,158,502.721645,3.626900106,536.0629546,2.922618976,33.34130965,4.701895265,1.33111E-12,2012,TRUE,FALSE,FALSE
COL,170,385.4523267,5.524289781,409.2542192,4.128198235,23.8018925,7.09818381,0.000798723,2012,TRUE,FALSE,FALSE
CRI,188,426.8386614,3.536481976,443.8996192,8.660966499,17.06095778,9.84081792,0.082972558,2012,FALSE,FALSE,TRUE
HRV,191,481.5452603,3.176409427,508.0734308,6.60935486,26.52817048,7.554198772,0.00044523,2012,TRUE,FALSE,FALSE
CZE,203,505.5056058,4.535175129,513.9746026,6.869743281,8.468996786,8.927274134,0.342790777,2012,FALSE,FALSE,TRUE
DNK,208,498.5503678,3.288494943,495.9782767,8.472066273,-2.572091077,9.522263753,0.78707301,2012,FALSE,FALSE,TRUE
DOM,214,,,,,,,,2012,N/A,N/A,N/A
EST,233,535.3757893,2.194848061,555.337966,3.619502782,19.96217666,4.108115507,1.17858E-06,2012,TRUE,FALSE,FALSE
FIN,246,544.3460956,2.662702912,547.6284882,3.344088369,3.282392536,4.128379444,0.426566882,2012,FALSE,FALSE,TRUE
FRA,250,498.2874969,4.014332922,505.9817891,11.51343154,7.694292159,14.03993898,0.583672067,2012,FALSE,FALSE,TRUE
GEO,268,,,,,,,,2012,N/A,N/A,N/A
DEU,276,523.268354,4.336776068,523.3497087,9.551378628,0.081354701,11.49420127,0.994352707,2012,FALSE,FALSE,TRUE
GRC,300,459.5711431,3.82596241,483.2399624,7.113177782,23.66881936,8.655075789,0.006244189,2012,TRUE,FALSE,FALSE
HKG,344,0,,554.9374344,2.609193887,0,,,2012,N/A,N/A,N/A
HUN,348,485.6042443,5.364120076,509.3002404,7.530839765,23.6959961,11.36729566,0.03710777,2012,TRUE,FALSE,FALSE
ISL,352,473.5725497,2.097004776,487.8183031,3.805995079,14.24575349,3.831843161,0.000201022,2012,TRUE,FALSE,FALSE
QHP,356,,,,,,,,2012,N/A,N/A,N/A
IDN,360,375.0812222,4.45843186,408.5072756,8.316999417,33.42605335,9.872754154,0.000710004,2012,TRUE,FALSE,FALSE
IRL,372,523.5545765,2.700430515,517.7487917,6.586701773,-5.805784827,7.560076278,0.442514985,2012,FALSE,FALSE,TRUE
ISR,376,463.9761107,5.207534752,478.1557491,10.23930789,14.1796384,11.7693059,0.228281221,2012,FALSE,FALSE,TRUE
ITA,380,491.2212917,2.549809944,503.9124199,4.204261622,12.69112821,5.197571706,0.014616595,2012,TRUE,FALSE,FALSE
JPN,392,526.8425879,7.33656423,554.2382105,5.007850221,27.39562262,9.999766173,0.006150907,2012,TRUE,FALSE,FALSE
KAZ,398,414.2649915,3.894949925,438.4133802,6.394683963,24.14838867,8.210251283,0.003268923,2012,TRUE,FALSE,FALSE
JOR,400,396.6385668,4.664897387,426.5028194,4.973253086,29.86425262,7.347017117,4.80709E-05,2012,TRUE,FALSE,FALSE
KOR,410,524.4110382,10.79499927,539.9414065,3.828732887,15.53036831,11.42020015,0.173860514,2012,FALSE,FALSE,TRUE
KSV,411,,,,,,,,2012,N/A,N/A,N/A
KGZ,417,,,,,,,,2012,N/A,N/A,N/A
LBN,422,,,,,,,,2012,N/A,N/A,N/A
LVA,428,495.9530322,3.086333472,516.0423208,5.698673251,20.08928862,6.534175839,0.002108595,2012,TRUE,FALSE,FALSE
LIE,438,524.6949923,3.547445331,0,,0,,,2012,N/A,N/A,N/A
LTU,440,485.3554865,3.297574632,512.9486602,3.751897097,27.59317374,4.896806512,1.75127E-08,2012,TRUE,FALSE,FALSE
LUX,442,491.2151757,1.304784981,0,,0,,,2012,N/A,N/A,N/A
MAC,446,0,,520.8429003,0.853920432,0,,,2012,N/A,N/A,N/A
MYS,458,414.0433008,3.289173644,434.3530598,7.662715476,20.30975906,8.570170092,0.017796755,2012,TRUE,FALSE,FALSE
MLT,470,,,,,,,,2012,N/A,N/A,N/A
MUS,480,,,,,,,,2012,N/A,N/A,N/A
MEX,484,401.431119,1.840507595,433.246001,1.730748761,31.81488208,2.651591368,3.62185E-33,2012,TRUE,FALSE,FALSE
MDA,498,,,,,,,,2012,N/A,N/A,N/A
MNE,499,406.9067818,1.272028724,417.4787498,2.328761732,10.57196796,2.782412941,0.000144948,2012,TRUE,FALSE,FALSE
NLD,528,519.6052037,5.629745809,517.2393149,11.46008189,-2.365888797,14.57282918,0.871030784,2012,FALSE,FALSE,TRUE
NZL,554,506.0557239,5.026698345,526.7164039,3.449538318,20.66067999,6.802374759,0.002387279,2012,TRUE,FALSE,FALSE
NOR,578,493.4046584,3.757327817,498.8879573,6.845539614,5.483298805,8.120081303,0.499500211,2012,FALSE,FALSE,TRUE
PAN,591,,,,,,,,2012,N/A,N/A,N/A
PER,604,351.1493712,3.902979042,404.8984454,5.755837226,53.74907414,6.738251084,1.50285E-15,2012,TRUE,FALSE,FALSE
POL,616,518.4506103,2.832897283,553.0299405,9.389550084,34.5793302,9.631911346,0.000330577,2012,TRUE,FALSE,FALSE
PRT,620,489.1956793,4.013361548,490.0648858,10.85204545,0.869206495,11.93054726,0.941921072,2012,FALSE,FALSE,TRUE
QUD,630,,,,,,,,2012,N/A,N/A,N/A
QAT,634,359.9895238,1.111041212,409.2938376,1.272850708,49.30431386,1.862523179,2.0485E-154,2012,TRUE,FALSE,FALSE
ROU,642,428.9036107,3.954967578,457.3858675,7.869208935,28.48225686,9.491112899,0.002691479,2012,TRUE,FALSE,FALSE
RUS,643,468.0948501,3.713841151,507.0462675,4.525200961,38.95141745,5.781682001,1.61647E-11,2012,TRUE,FALSE,FALSE
SRB,688,430.1186912,4.786382449,464.4112866,6.163747079,34.29259534,8.271955001,3.38857E-05,2012,TRUE,FALSE,FALSE
SGP,702,0,,552.0879881,1.388963853,0,,,2012,N/A,N/A,N/A
SVK,703,464.5183003,4.130196941,513.3914729,11.15791439,48.87317254,12.47877534,8.98424E-05,2012,TRUE,FALSE,FALSE
VNM,704,519.0391265,4.463650297,557.0129828,9.02709738,37.97385626,9.93040775,0.000131305,2012,TRUE,FALSE,FALSE
SVN,705,509.8646351,1.590568815,526.7379079,2.592302313,16.87327287,3.137971202,7.56834E-08,2012,TRUE,FALSE,FALSE
ESP,724,491.3373343,2.381768544,505.3305851,3.343048376,13.99325077,4.277691088,0.001070862,2012,TRUE,FALSE,FALSE
SWE,752,482.8246426,3.393702894,490.4112942,7.533597758,7.586651689,8.610594786,0.378272709,2012,FALSE,FALSE,TRUE
CHE,756,513.3189976,3.400688423,523.6471516,9.144259417,10.328154,10.50068119,0.325327028,2012,FALSE,FALSE,TRUE
THA,764,433.3032145,3.359765047,466.8213073,6.161468928,33.51809277,7.391979208,5.77711E-06,2012,TRUE,FALSE,FALSE
TTO,780,,,,,,,,2012,N/A,N/A,N/A
ARE,784,428.4659057,4.60608452,461.6870545,3.547530033,33.22114872,5.50732596,1.61768E-09,2012,TRUE,FALSE,FALSE
TUN,788,393.1358903,3.754626757,413.9743031,10.59269246,20.83841277,12.11456312,0.085411974,2012,FALSE,FALSE,TRUE
TUR,792,472.217006,8.84046365,456.6026852,5.279014062,-15.61432078,11.86675485,0.188239913,2012,FALSE,FALSE,TRUE
MKD,807,,,,,,,,2012,N/A,N/A,N/A
GBR,826,515.6852972,4.622085609,517.531057,7.049506851,1.845759832,8.620276311,0.830454722,2012,FALSE,FALSE,TRUE
USA,840,504.2853613,5.240375345,489.3727782,6.598797025,-14.9125831,8.904423646,0.093985506,2012,FALSE,FALSE,TRUE
URY,858,399.4314116,3.690655263,444.4173204,5.81833255,44.98590877,7.295253476,6.98345E-10,2012,TRUE,FALSE,FALSE
QVE,862,,,,,,,,2012,N/A,N/A,N/A
QCH,970,,,,,,,,2012,N/A,N/A,N/A
QES,971,,,,,,,,2012,N/A,N/A,N/A
QUC,972,,,,,,,,2012,N/A,N/A,N/A
QUE,973,,,,,,,,2012,N/A,N/A,N/A
QAR,974,,,,,,,,2012,N/A,N/A,N/A
ALB,8,378.9877883,4.462274494,422.0762377,7.020070222,43.08844943,8.642463962,6.17483E-07,2009,TRUE,FALSE,FALSE
DZA,12,,,,,,,,2009,N/A,N/A,N/A
